Symbol,Name,Type,Market Cap/Assets,Div Growth 5Y,Div Growth 10Y,Return 3Y,Return 5Y,CAGR 5Y,CAGR 10Y
ZION,"Zions Bancorporation, National Association",Stock,8721004600,5.53%,22.19%,131.70%,26.48%,4.81%,12.67%
OC,Owens Corning,Stock,8735338446,23.75%,15.68%,20.52%,23.20%,4.26%,9.83%
TTEK,"Tetra Tech, Inc.",Stock,8134601520,12.86%,14.69%,13.61%,14.97%,2.83%,19.04%
FRO,Frontline plc,Stock,8121282991,63.64%,11.36%,212.58%,602.69%,47.69%,25.18%
IDCC,"InterDigital, Inc.",Stock,8073607421,14.04%,12.93%,348.70%,421.34%,39.13%,21.35%
PRI,"Primerica, Inc.",Stock,8034017747,19.95%,20.67%,56.95%,77.93%,12.21%,20.98%
FR,"First Industrial Realty Trust, Inc.",Stock,7746027800,12.46%,12.35%,23.43%,41.84%,7.24%,12.94%
GGAL,Grupo Financiero Galicia S.A.,Stock,7422498301,88.06%,46.44%,400.07%,663.06%,50.15%,8.31%
TX,Ternium S.A.,Stock,7793414777,5.15%,11.61%,30.24%,46.26%,7.90%,14.43%
GGB,Gerdau S.A.,Stock,7535158365,13.88%,23.53%,8.53%,33.22%,5.90%,15.07%
AL,Air Lease Corporation,Stock,7280034300,7.26%,17.20%,78.74%,44.25%,7.60%,9.43%
SM,SM Energy Company,Stock,7260420196,110.16%,23.42%,10.43%,92.92%,14.04%,7.12%
AWI,"Armstrong World Industries, Inc.",Stock,7163567444,9.29%,22.15%,150.79%,88.55%,13.52%,15.75%
PRMB,Primo Brands Corporation,Stock,6947574594,11.84%,21.48%,39.68%,28.27%,5.11%,5.19%
TEX,Terex Corporation,Stock,3928260955,23.16%,10.52%,44.76%,36.56%,6.43%,11.24%
TRNO,Terreno Realty Corporation,Stock,6526751700,12.45%,11.67%,8.23%,21.92%,4.04%,13.44%
AAON,"AAON, Inc.",Stock,6632766969,9.57%,10.55%,33.07%,76.63%,12.05%,17.04%
BYD,Boyd Gaming Corporation,Stock,6347409815,37.60%,30.93%,38.84%,42.25%,7.30%,15.82%
CBC,"Central Bancompany, Inc.",Stock,5819898979,38.06%,34.53%,87.26%,139.46%,19.08%,14.22%
MTG,MGIC Investment Corporation,Stock,5854342583,19.30%,25.47%,118.12%,116.55%,16.71%,15.80%
NXST,"Nexstar Media Group, Inc.",Stock,5641917282,24.18%,24.08%,20.92%,53.93%,9.01%,18.29%
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",Stock,5539600387,20.77%,11.50%,49.93%,196.34%,24.27%,14.58%
HOMB,"Home BancShares, Inc.",Stock,5389737940,8.32%,10.13%,44.25%,16.66%,3.13%,5.90%
ABCB,Ameris Bancorp,Stock,5344623261,5.92%,14.87%,144.24%,58.07%,9.59%,12.22%
BMA,Banco Macro S.A.,Stock,4910055268,36.42%,30.12%,448.38%,712.93%,52.06%,6.44%
OZK,Bank OZK,Stock,5176210217,10.49%,11.92%,60.72%,36.63%,6.44%,4.27%
UFPI,"UFP Industries, Inc.",Stock,5151182478,20.72%,17.55%,22.76%,21.18%,3.92%,13.57%
LPX,Louisiana-Pacific Corporation,Stock,5038167977,13.32%,24.25%,41.60%,29.17%,5.25%,16.78%
NSA,National Storage Affiliates Trust,Stock,3029750125,10.72%,11.91%,11.83%,26.79%,4.86%,12.19%
NNI,"Nelnet, Inc.",Stock,4715131610,7.59%,10.42%,48.84%,86.05%,13.22%,14.24%
RDN,Radian Group Inc.,Stock,4629173734,14.65%,58.80%,71.02%,69.01%,11.07%,13.32%
UNF,UniFirst Corporation,Stock,4681352960,7.42%,25.29%,55.98%,19.28%,3.59%,9.53%
BMI,"Badger Meter, Inc.",Stock,4535403961,16.42%,14.43%,33.37%,66.58%,10.75%,17.93%
MTH,Meritage Homes Corporation,Stock,4213785885,67.31%,29.35%,14.50%,42.02%,7.27%,14.03%
FELE,"Franklin Electric Co., Inc.",Stock,4171803636,10.25%,10.60%,10.73%,21.51%,3.97%,13.01%
SFBS,"ServisFirst Bancshares, Inc.",Stock,4036841987,13.78%,27.10%,52.53%,30.32%,5.44%,14.40%
SIMO,Silicon Motion Technology Corporation,Stock,3912215109,7.44%,12.93%,95.82%,99.45%,14.81%,14.89%
UCB,"United Community Banks, Inc.",Stock,3864701717,6.28%,15.22%,29.72%,10.10%,1.94%,8.72%
PATK,"Patrick Industries, Inc.",Stock,3784104764,19.08%,26.44%,178.70%,113.18%,16.35%,20.20%
JOE,The St. Joe Company,Stock,3737337377,21.14%,23.97%,66.06%,53.40%,8.93%,15.50%
BANF,BancFirst Corporation,Stock,3691973486,7.57%,10.52%,41.81%,68.40%,10.99%,16.95%
AGO,Assured Guaranty Ltd.,Stock,3666923104,11.29%,11.07%,66.52%,104.54%,15.39%,14.70%
WSFS,WSFS Financial Corporation,Stock,3552566428,6.77%,11.45%,93.43%,42.28%,7.31%,8.77%
KLIC,"Kulicke and Soffa Industries, Inc.",Stock,3486398878,9.54%,21.19%,41.13%,29.68%,5.34%,21.61%
FBP,First BanCorp.,Stock,3386338035,25.26%,37.79%,121.88%,129.65%,18.09%,26.12%
BTE,Baytex Energy Corp.,Stock,3382215932,31.58%,14.71%,18.96%,345.77%,34.84%,2.39%
GFF,Griffon Corporation,Stock,3353700456,20.49%,15.46%,166.12%,212.81%,25.62%,20.81%
KBH,KB Home,Stock,3200582525,13.12%,25.89%,34.69%,13.15%,2.50%,15.24%
SBLK,Star Bulk Carriers Corp.,Stock,2687876615,14.09%,27.77%,42.27%,201.28%,24.68%,27.89%
FORTY,Formula Systems (1985) Ltd.,Stock,1908150408,15.91%,14.01%,101.33%,46.30%,7.91%,16.43%
TRN,"Trinity Industries, Inc.",Stock,2571637381,8.81%,10.74%,54.96%,33.97%,6.02%,13.13%
LMAT,"LeMaitre Vascular, Inc.",Stock,2486486105,16.56%,17.81%,122.57%,129.85%,18.11%,23.22%
HTH,Hilltop Holdings Inc.,Stock,2142562034,11.99%,28.56%,36.17%,17.57%,3.29%,8.66%
SAH,"Sonic Automotive, Inc.",Stock,2152540633,30.08%,26.91%,33.16%,39.45%,6.88%,15.73%
DAC,Danaos Corporation,Stock,2123435359,47.58%,21.48%,139.31%,169.22%,21.90%,10.96%
EFSC,Enterprise Financial Services Corp,Stock,2047625670,11.84%,15.43%,36.80%,23.35%,4.29%,9.68%
PLUS,ePlus inc.,Stock,2049805901,24.57%,11.61%,57.88%,55.87%,9.28%,14.65%
NBHC,National Bank Holdings Corporation,Stock,1523072310,8.18%,19.92%,37.61%,14.11%,2.68%,9.66%
OFG,OFG Bancorp,Stock,1797031509,33.94%,14.60%,92.69%,102.14%,15.11%,23.24%
ARCO,Arcos Dorados Holdings Inc.,Stock,1759036526,45.41%,18.25%,26.41%,83.37%,12.89%,10.99%
AGM,Federal Agricultural Mortgage Corporation,Stock,1661209190,13.21%,23.48%,28.23%,74.16%,11.74%,18.89%
AGM.A,Federal Agricultural Mortgage Corporation,Stock,1760365116,13.21%,23.48%,25.25%,61.32%,10.04%,16.07%
BFC,Bank First Corporation,Stock,1541798822,17.67%,13.32%,118.42%,108.93%,15.88%,19.83%
WINA,Winmark Corporation,Stock,1506860578,26.93%,46.21%,41.33%,153.59%,20.46%,17.60%
GSL,"Global Ship Lease, Inc.",Stock,1398297239,55.87%,24.85%,163.16%,285.67%,30.99%,20.18%
CSWC,Capital Southwest Corporation,Stock,1364474614,6.08%,34.70%,82.91%,72.58%,11.53%,16.64%
DMLP,"Dorchester Minerals, L.P.",Stock,1349222382,20.53%,14.70%,29.83%,245.98%,28.18%,21.03%
PFBC,Preferred Bank,Stock,1117067110,19.35%,19.10%,96.20%,65.62%,10.62%,15.26%
TK,Teekay Corporation Ltd.,Stock,1115971922,14.87%,11.72%,187.57%,424.07%,39.28%,8.93%
OSBC,"Old Second Bancorp, Inc.",Stock,1093861008,26.58%,38.52%,59.20%,70.43%,11.25%,12.33%
ITRN,Ituran Location and Control Ltd.,Stock,1020341718,44.27%,14.72%,175.94%,180.56%,22.92%,14.15%
EIG,"Employers Holdings, Inc.",Stock,984565335,5.06%,15.61%,9.42%,16.90%,3.17%,7.22%
FCBC,"First Community Bankshares, Inc.",Stock,801722250,17.50%,14.87%,111.53%,80.08%,12.48%,12.71%
CCBG,"Capital City Bank Group, Inc.",Stock,766363021,11.79%,21.25%,65.03%,90.97%,13.81%,14.46%
SMBC,"Southern Missouri Bancorp, Inc.",Stock,723260046,9.59%,10.53%,88.31%,75.18%,11.87%,12.35%
ORRF,"Orrstown Financial Services, Inc.",Stock,720046587,9.46%,13.14%,105.60%,88.39%,13.50%,10.96%
IBCP,Independent Bank Corporation,Stock,695476152,5.27%,13.45%,119.66%,69.96%,11.19%,12.55%
SB,"Safe Bulkers, Inc.",Stock,672297555,31.95%,14.87%,107.51%,241.22%,27.82%,27.43%
EGY,"VAALCO Energy, Inc.",Stock,653699246,50.39%,22.63%,50.83%,233.10%,27.21%,26.08%
MOV,"Movado Group, Inc.",Stock,542676945,36.08%,11.77%,17.50%,16.14%,3.04%,2.91%
UNTY,"Unity Bancorp, Inc.",Stock,537712567,13.40%,15.97%,153.93%,173.84%,22.32%,19.74%
NRIM,"Northrim BanCorp, Inc.",Stock,530186161,12.67%,13.06%,139.17%,166.41%,21.65%,19.38%
HBCP,"Home Bancorp, Inc.",Stock,482397879,5.80%,12.92%,104.56%,87.82%,13.44%,11.16%
CIVB,"Civista Bancshares, Inc.",Stock,480644254,8.45%,13.18%,51.14%,15.43%,2.91%,10.87%
ESEA,Euroseas Ltd.,Stock,477612585,41.14%,18.80%,449.25%,919.92%,59.12%,32.69%
FBIZ,"First Business Financial Services, Inc.",Stock,466864599,11.89%,10.15%,103.38%,152.16%,20.32%,12.16%
ISTR,Investar Holding Corporation,Stock,382113195,11.10%,29.33%,119.32%,49.60%,8.39%,7.91%
PLBC,Plumas Bancorp,Stock,348809820,18.79%,28.53%,63.76%,91.20%,13.84%,21.56%
WEYS,"Weyco Group, Inc.",Stock,306819307,26.26%,14.43%,57.66%,85.64%,13.17%,6.70%
CVEO,Civeo Corporation,Stock,342326354,31.95%,14.87%,40.50%,87.57%,13.41%,8.53%
FSBW,"FS Bancorp, Inc.",Stock,292317540,23.23%,24.17%,48.71%,33.47%,5.94%,14.57%
CIX,CompX International Inc.,Stock,280472777,34.49%,27.10%,54.84%,92.72%,14.02%,14.01%
NECB,"Northeast Community Bancorp, Inc.",Stock,333399400,62.03%,27.29%,100.79%,128.41%,17.96%,19.59%
NL,"NL Industries, Inc.",Stock,275585820,26.37%,30.66%,18.43%,12.39%,2.36%,14.06%
OVLY,Oak Valley Bancorp,Stock,274713168,18.41%,10.89%,48.95%,109.97%,15.99%,15.19%
FXNC,First National Corporation,Stock,249530689,7.16%,19.44%,92.95%,75.42%,11.90%,14.55%
FUNC,First United Corporation,Stock,243021584,13.12%,27.23%,146.98%,146.11%,19.74%,15.99%
HWBK,"Hawthorn Bancshares, Inc.",Stock,226724459,12.75%,18.68%,62.26%,100.09%,14.88%,14.31%
TWIN,"Twin Disc, Incorporated",Stock,225843164,31.95%,14.87%,75.86%,56.34%,9.35%,4.72%
PEBK,"Peoples Bancorp of North Carolina, Inc.",Stock,214041441,9.59%,12.23%,42.91%,94.12%,14.19%,11.94%
CFBK,CF Bankshares Inc.,Stock,183755097,30.45%,27.48%,52.41%,50.94%,8.58%,14.69%
SBFG,"SB Financial Group, Inc.",Stock,129956725,8.81%,11.28%,63.09%,35.77%,6.31%,10.53%
FRD,"Friedman Industries, Incorporated",Stock,123751967,14.87%,14.87%,52.09%,114.86%,16.53%,13.23%
COHN,Cohen & Company Inc.,Stock,103117647,71.42%,16.55%,266.80%,11.34%,2.17%,16.19%
VIRC,Virco Mfg. Corporation,Stock,96773406,37.97%,20.89%,61.99%,96.92%,14.51%,7.53%
FUSB,"First US Bancshares, Inc.",Stock,89502102,18.47%,13.35%,115.62%,77.70%,12.19%,7.95%
HFBL,"Home Federal Bancorp, Inc. of Louisiana",Stock,51874690,10.15%,12.83%,14.27%,24.14%,4.42%,7.21%
