Symbol,Name,Type,Market Cap/Assets,Div Growth 5Y,Div Growth 10Y,Return 3Y,Return 5Y,CAGR 5Y,CAGR 10Y
IWD,iShares Russell 1000 Value ETF,ETF,70493223943,6.39%,3.58%,50.58%,54.70%,9.12%,10.66%
VT,Vanguard Total World Stock ETF,ETF,63516036836,9.91%,6.64%,62.32%,55.58%,9.24%,11.87%
VEU,Vanguard FTSE All-World ex-US Index Fund,ETF,59654584978,12.60%,5.63%,56.61%,43.42%,7.48%,9.41%
SCHF,Schwab International Equity ETF,ETF,58446470652,14.08%,8.71%,58.82%,52.02%,8.74%,9.84%
IXUS,iShares Core MSCI Total International Stock ETF,ETF,52493087962,11.95%,7.51%,56.08%,41.68%,7.22%,9.28%
IWR,iShares Russell Midcap ETF,ETF,49078307493,9.12%,5.99%,50.05%,40.09%,6.98%,11.05%
SCHG,Schwab U.S. Large-Cap Growth ETF,ETF,48969281019,9.57%,4.58%,85.80%,79.89%,12.46%,17.17%
XLF,State Street Financial Select Sector SPDR ETF,ETF,48713500192,6.07%,4.79%,64.27%,56.65%,9.39%,12.77%
VV,Vanguard Large-Cap ETF,ETF,46002707082,6.01%,6.21%,69.31%,70.69%,11.29%,14.34%
IWB,iShares Russell 1000 ETF,ETF,43049392135,5.56%,5.06%,67.40%,67.79%,10.91%,14.04%
SMH,VanEck Semiconductor ETF,ETF,42706012354,7.03%,14.39%,217.09%,217.41%,25.99%,31.92%
XLE,State Street Energy Select Sector SPDR ETF,ETF,41971515941,7.43%,4.18%,52.52%,192.42%,23.94%,11.52%
DGRO,iShares Core Dividend Growth ETF,ETF,37696853855,7.09%,8.72%,50.91%,61.15%,10.02%,13.04%
SPDW,State Street SPDR Portfolio Developed World ex-US ETF,ETF,36551179395,11.92%,7.29%,58.77%,49.29%,8.35%,9.70%
VBR,Vanguard Small Cap Value ETF,ETF,32747760544,9.54%,6.26%,50.97%,44.75%,7.68%,10.44%
VGK,Vanguard FTSE Europe ETF,ETF,29172350854,13.77%,4.61%,51.48%,51.48%,8.66%,9.35%
EFV,iShares MSCI EAFE Value ETF,ETF,28918235716,14.42%,6.70%,76.94%,79.18%,12.37%,10.09%
ACWI,iShares MSCI ACWI ETF,ETF,28458977259,9.27%,4.20%,62.60%,56.98%,9.44%,11.93%
XLI,State Street Industrial Select Sector SPDR ETF,ETF,28454471827,9.96%,5.84%,76.01%,77.65%,12.18%,13.61%
TQQQ,ProShares UltraPro QQQ,ETF,25403387566,537.24%,51.04%,239.65%,81.67%,12.68%,36.13%
MDY,State Street SPDR S&P MIDCAP 400 ETF Trust,ETF,24322745154,9.77%,6.93%,45.03%,36.89%,6.48%,10.63%
IUSV,iShares Core S&P US Value ETF,ETF,24143675996,5.14%,5.16%,49.47%,62.69%,10.22%,11.73%
FNDX,Schwab Fundamental U.S. Large Company ETF,ETF,23825447071,5.92%,8.37%,62.45%,76.24%,12.00%,13.53%
DVY,iShares Select Dividend ETF,ETF,22367390008,8.20%,7.18%,44.66%,57.39%,9.50%,10.43%
FNDF,Schwab Fundamental International Equity ETF,ETF,21694448747,17.09%,9.83%,76.54%,79.54%,12.42%,11.54%
SOXX,iShares Semiconductor ETF,ETF,21386112394,9.81%,15.63%,147.94%,139.70%,19.11%,28.79%
VOE,Vanguard Mid-Cap Value ETF,ETF,21322409015,7.25%,6.04%,50.40%,51.48%,8.66%,10.54%
XLY,State Street Consumer Discretionary Select Sector SPDR ETF,ETF,20781673559,8.97%,4.21%,54.23%,31.09%,5.56%,11.99%
MTUM,iShares MSCI USA Momentum Factor ETF,ETF,20741094250,14.77%,9.45%,78.91%,58.13%,9.60%,14.38%
EWJ,iShares MSCI Japan ETF,ETF,18748602753,36.77%,17.66%,61.01%,37.98%,6.65%,9.16%
VYMI,Vanguard International High Dividend Yield ETF,ETF,18116672272,10.88%,,75.18%,79.87%,12.46%,10.64%
OEF,iShares S&P 100 ETF,ETF,17896125197,5.21%,5.01%,77.91%,84.76%,13.06%,15.24%
VONV,Vanguard Russell 1000 Value ETF,ETF,16866247847,6.51%,4.92%,51.11%,55.61%,9.25%,10.77%
SPHQ,Invesco S&P 500 Quality ETF,ETF,15978530231,7.58%,7.14%,67.60%,80.78%,12.57%,13.79%
SPMD,State Street SPDR Portfolio S&P 400 Mid Cap ETF,ETF,15796912293,9.48%,-5.18%,46.27%,38.53%,6.74%,11.04%
IWS,iShares Russell Mid-Cap Value ETF,ETF,14166215691,6.17%,3.22%,48.68%,44.53%,7.65%,9.89%
GSLC,TR Activebeta US Large Cap Equity ETF,ETF,13976083169,7.17%,,62.89%,66.86%,10.78%,13.46%
SCHM,Schwab U.S. Mid-Cap ETF,ETF,13093421536,11.14%,6.83%,49.11%,34.11%,6.05%,10.58%
SPMO,Invesco S&P 500 Momentum ETF,ETF,13088334482,12.03%,,113.16%,123.49%,17.45%,17.53%
IWN,iShares Russell 2000 Value ETF,ETF,12526424212,8.52%,4.71%,52.98%,30.79%,5.52%,9.84%
AMLP,Alerian MLP ETF,ETF,12119140236,7.08%,-3.53%,70.34%,151.94%,20.30%,8.90%
IQLT,iShares MSCI Intl Quality Factor ETF,ETF,12000478118,8.42%,5.20%,42.91%,42.00%,7.27%,9.38%
SPTM,State Street SPDR Portfolio S&P 1500 Composite Stock Market ETF,ETF,11843319481,7.01%,6.34%,66.39%,70.63%,11.28%,14.13%
MOAT,VanEck Morningstar Wide Moat ETF,ETF,11563351028,11.28%,13.15%,38.41%,45.29%,7.76%,13.68%
MGV,Vanguard Mega Cap Value ETF,ETF,11339660928,7.06%,6.70%,53.89%,71.11%,11.34%,12.31%
NOBL,ProShares S&P 500 Dividend Aristocrats ETF,ETF,11045360787,5.49%,8.52%,24.93%,34.47%,6.10%,9.69%
VSS,Vanguard FTSE All-World ex-US Small-Cap ETF,ETF,10689425647,11.12%,7.18%,50.46%,30.28%,5.43%,7.98%
VDE,Vanguard Energy ETF,ETF,10537378376,9.60%,1.72%,56.08%,197.07%,24.33%,11.15%
IGF,iShares Global Infrastructure ETF,ETF,10287429612,9.50%,4.54%,54.45%,71.14%,11.35%,9.16%
VLUE,iShares MSCI USA Value Factor ETF,ETF,10272889741,8.63%,5.83%,71.45%,59.41%,9.78%,12.12%
