Symbol,Fund Name,Assets,Asset Class,Div. Growth 5Y,Div. Growth 10Y,Return 3Y,Return 5Y,CAGR 5Y,CAGR 10Y
XLY,State Street Consumer Discretionary Select Sector SPDR ETF,20781673559,Equity,8.97%,4.21%,54.23%,31.09%,5.56%,11.99%
MTUM,iShares MSCI USA Momentum Factor ETF,20741094250,Equity,14.77%,9.45%,78.91%,58.13%,9.60%,14.38%
EWJ,iShares MSCI Japan ETF,18748602753,Equity,36.77%,17.66%,61.01%,37.98%,6.65%,9.16%
VYMI,Vanguard International High Dividend Yield ETF,18116672272,Equity,10.88%,,75.18%,79.87%,12.46%,10.64%
OEF,iShares S&P 100 ETF,17896125197,Equity,5.21%,5.01%,77.91%,84.76%,13.06%,15.24%
VONV,Vanguard Russell 1000 Value ETF,16866247847,Equity,6.51%,4.92%,51.11%,55.61%,9.25%,10.77%
SPHQ,Invesco S&P 500 Quality ETF,15978530231,Equity,7.58%,7.14%,67.60%,80.78%,12.57%,13.79%
SPMD,State Street SPDR Portfolio S&P 400 Mid Cap ETF,15796912293,Equity,9.48%,-5.18%,46.27%,38.53%,6.74%,11.04%
IWS,iShares Russell Mid-Cap Value ETF,14166215691,Equity,6.17%,3.22%,48.68%,44.53%,7.65%,9.89%
GSLC,TR Activebeta US Large Cap Equity ETF,13976083169,Equity,7.17%,,62.89%,66.86%,10.78%,13.46%
SCHM,Schwab U.S. Mid-Cap ETF,13093421536,Equity,11.14%,6.83%,49.11%,34.11%,6.05%,10.58%
SPMO,Invesco S&P 500 Momentum ETF,13088334482,Equity,12.03%,,113.16%,123.49%,17.45%,17.53%
IWN,iShares Russell 2000 Value ETF,12526424212,Equity,8.52%,4.71%,52.98%,30.79%,5.52%,9.84%
AMLP,Alerian MLP ETF,12119140236,Equity,7.08%,-3.53%,70.34%,151.94%,20.30%,8.90%
IQLT,iShares MSCI Intl Quality Factor ETF,12000478118,Equity,8.42%,5.20%,42.91%,42.00%,7.27%,9.38%
SPTM,State Street SPDR Portfolio S&P 1500 Composite Stock Market ETF,11843319481,Equity,7.01%,6.34%,66.39%,70.63%,11.28%,14.13%
MOAT,VanEck Morningstar Wide Moat ETF,11563351028,Equity,11.28%,13.15%,38.41%,45.29%,7.76%,13.68%
MGV,Vanguard Mega Cap Value ETF,11339660928,Equity,7.06%,6.70%,53.89%,71.11%,11.34%,12.31%
NOBL,ProShares S&P 500 Dividend Aristocrats ETF,11045360787,Equity,5.49%,8.52%,24.93%,34.47%,6.10%,9.69%
VSS,Vanguard FTSE All-World ex-US Small-Cap ETF,10689425647,Equity,11.12%,7.18%,50.46%,30.28%,5.43%,7.98%
VDE,Vanguard Energy ETF,10537378376,Equity,9.60%,1.72%,56.08%,197.07%,24.33%,11.15%
IGF,iShares Global Infrastructure ETF,10287429612,Equity,9.50%,4.54%,54.45%,71.14%,11.35%,9.16%
VLUE,iShares MSCI USA Value Factor ETF,10272889741,Equity,8.63%,5.83%,71.45%,59.41%,9.78%,12.12%
IJK,iShares S&P Mid-Cap 400 Growth ETF,10142001131,Equity,5.68%,3.50%,49.39%,33.12%,5.89%,10.82%
